Date & Time.2,Eas,Nor,Mag,Dir,theta_used_degT,u_along_overall,phase
2010-06-09 20:12:00,-0.1967670025929137,-0.0757773305217206,0.2683529411764706,209.8823529411765,209.8823529411765,-0.20997957764101555,slack
2010-06-09 20:18:00,-0.1648808767745431,-0.2518186946996412,0.3635882352941176,231.23529411764707,231.23529411764707,-0.25934035890881324,slack
2010-06-09 20:24:00,-0.1859481366518487,-0.2904866014722957,0.3901764705882353,233.23529411764707,233.23529411764707,-0.2953517572190385,slack
2010-06-09 20:30:00,-0.2149368376061976,-0.3232603280654217,0.4228823529411765,233.0,233.0,-0.3358557681322803,slack
2010-06-09 20:36:00,-0.2257846543774426,-0.3670131489102947,0.4586470588235294,234.58823529411765,234.58823529411765,-0.36495577429449,slack
2010-06-09 20:42:00,-0.2516291486929157,-0.3571511109360435,0.4751176470588236,231.8823529411765,231.8823529411765,-0.3837616338194211,slack
2010-06-09 20:48:00,-0.2717043781608401,-0.3648279196841653,0.4951764705882353,230.0,230.0,-0.4051607920216158,flood
2010-06-09 20:54:00,-0.2703049802897937,-0.4463854341093113,0.5427058823529411,236.8823529411765,236.8823529411765,-0.4400194804475668,flood
2010-06-09 21:00:00,-0.2620239986097393,-0.4659052300859229,0.5525294117647059,239.23529411764707,239.23529411764707,-0.4412378770758595,flood
2010-06-09 21:06:00,-0.244699835558455,-0.5008098417967566,0.5704705882352942,242.52941176470588,242.52941176470588,-0.4411603087180215,flood
2010-06-09 21:12:00,-0.2532001429652831,-0.5395511416816154,0.6058823529411765,243.4705882352941,243.4705882352941,-0.4659364003114216,flood
2010-06-09 21:18:00,-0.2827225542670895,-0.5694988125160553,0.6420588235294119,242.2941176470588,242.2941176470588,-0.5056675787265966,flood
2010-06-09 21:24:00,-0.3037680947571104,-0.5964447423118637,0.6730588235294118,241.8823529411765,241.8823529411765,-0.5364690472208524,flood
2010-06-09 21:30:00,-0.3215371292425601,-0.6319000722896612,0.7116470588235293,242.2941176470588,242.2941176470588,-0.5681006651415621,flood
2010-06-09 21:36:00,-0.3091581350685196,-0.6269898750679211,0.7021764705882354,242.8823529411765,242.8823529411765,-0.554827167316371,flood
2010-06-09 21:42:00,-0.3117608315956842,-0.643787333876749,0.7168235294117646,243.8823529411765,243.8823529411765,-0.5645986657040751,flood
2010-06-09 21:48:00,-0.3424541290830066,-0.7129667934477614,0.7933529411764706,244.23529411764707,244.23529411764707,-0.6227514030077064,flood
2010-06-09 21:54:00,-0.3427908031899798,-0.7111824893919843,0.7910588235294118,244.1764705882353,244.1764705882353,-0.6222631879829607,flood
2010-06-09 22:00:00,-0.3524704655388508,-0.712317514359648,0.7956470588235295,243.4705882352941,243.4705882352941,-0.6314447709565694,flood
2010-06-09 22:06:00,-0.3937034952229508,-0.7278459078266619,0.8281176470588234,241.52941176470588,241.52941176470588,-0.6752911342841652,flood
2010-06-09 22:12:00,-0.3867722610131735,-0.6983517281715956,0.800470588235294,240.52941176470588,240.52941176470588,-0.6560165048025695,flood
2010-06-09 22:18:00,-0.4065611060732537,-0.671657623694611,0.7905882352941176,237.4705882352941,237.4705882352941,-0.6619395486778525,flood
2010-06-09 22:24:00,-0.363134980304819,-0.6217801426569731,0.7271176470588234,237.7058823529412,237.7058823529412,-0.6009171358859866,flood
2010-06-09 22:30:00,-0.3505377505431172,-0.6667254266263622,0.7571764705882353,240.8823529411765,240.8823529411765,-0.6095238186205296,flood
2010-06-09 22:36:00,-0.3672011108326615,-0.6106230249937749,0.7184117647058823,237.23529411764707,237.23529411764707,-0.59962257986594,flood
2010-06-09 22:42:00,-0.3445836126989599,-0.646629700108135,0.7352941176470589,240.94117647058823,240.94117647058823,-0.5952868816024998,flood
2010-06-09 22:48:00,-0.3254870264826122,-0.6715326996386787,0.7471176470588233,243.7058823529412,243.7058823529412,-0.5891914363556553,flood
2010-06-09 22:54:00,-0.3110387081188946,-0.6262346065788529,0.7018823529411764,242.41176470588235,242.41176470588235,-0.5561788997333661,flood
2010-06-09 23:00:00,-0.3310868006773303,-0.712997917660998,0.810764705882353,241.23529411764707,241.23529411764707,-0.6125729889747958,flood
2010-06-09 23:06:00,-0.3486204429416697,-0.6655108508406117,0.7844705882352941,237.41176470588235,237.41176470588235,-0.6072669081490882,flood
2010-06-09 23:12:00,-0.335281015949048,-0.5911242261957071,0.7035882352941177,235.7058823529412,235.7058823529412,-0.562368314554673,flood
2010-06-09 23:18:00,-0.353100108789346,-0.5613340682493334,0.6831764705882354,234.11764705882356,234.11764705882356,-0.5651543123711978,flood
2010-06-09 23:24:00,-0.3651894747191216,-0.5525161601508118,0.6797647058823529,234.05882352941177,234.05882352941177,-0.5720893599024248,flood
2010-06-09 23:30:00,-0.3122734338881356,-0.5047477536325348,0.6081764705882354,235.41176470588235,235.41176470588235,-0.5034919730934002,flood
2010-06-09 23:36:00,-0.3216288722917449,-0.5579460942064047,0.6555294117647059,237.94117647058823,237.94117647058823,-0.5354363275037418,flood
