Date/Time, Speed (cm/sec), Dir (true)
2010-06-09 20:12:00, 30.7, 262
2010-06-09 20:18:00, 52.9, 271
2010-06-09 20:24:00, 53.6, 270
2010-06-09 20:30:00, 53.7, 269
2010-06-09 20:36:00, 55.2, 262
2010-06-09 20:42:00, 57.1, 268
2010-06-09 20:48:00, 58.4, 265
2010-06-09 20:54:00, 55.2, 258
2010-06-09 21:00:00, 50.4, 254
2010-06-09 21:06:00, 50.7, 249
2010-06-09 21:12:00, 52.1, 247
2010-06-09 21:18:00, 57.2, 244
2010-06-09 21:24:00, 57.1, 241
2010-06-09 21:30:00, 60.6, 241
2010-06-09 21:36:00, 59.7, 246
2010-06-09 21:42:00, 57.8, 241
2010-06-09 21:48:00, 61.5, 243
2010-06-09 21:54:00, 61.9, 241
2010-06-09 22:00:00, 56.1, 241
2010-06-09 22:06:00, 65.0, 242
2010-06-09 22:12:00, 65.2, 243
2010-06-09 22:18:00, 56.2, 235
2010-06-09 22:24:00, 49.4, 231
2010-06-09 22:30:00, 50.3, 235
2010-06-09 22:36:00, 51.7, 229
2010-06-09 22:42:00, 52.3, 233
2010-06-09 22:48:00, 51.7, 242
2010-06-09 22:54:00, 50.4, 235
2010-06-09 23:00:00, 52.5, 221
2010-06-09 23:06:00, 48.6, 218
2010-06-09 23:12:00, 43.8, 218
2010-06-09 23:18:00, 42.5, 220
2010-06-09 23:24:00, 50.2, 219
2010-06-09 23:30:00, 45.8, 223
2010-06-09 23:36:00, 51.7, 225
2010-06-09 23:42:00, 52.0, 226
2010-06-09 23:48:00, 50.3, 233
2010-06-09 23:54:00, 44.5, 229
2010-06-10 00:00:00, 46.1, 224
2010-06-10 00:06:00, 36.1, 222
2010-06-10 00:12:00, 37.2, 221
2010-06-10 00:18:00, 36.8, 218
2010-06-10 00:24:00, 37.2, 215
2010-06-10 00:30:00, 31.8, 206
2010-06-10 00:36:00, 33.8, 211
2010-06-10 00:42:00, 33.5, 204
2010-06-10 00:48:00, 30.2, 199
2010-06-10 00:54:00, 28.4, 193
2010-06-10 01:00:00, 29.6, 202
2010-06-10 01:06:00, 30.1, 197
2010-06-10 01:12:00, 31.9, 192
2010-06-10 01:18:00, 27.8, 186
2010-06-10 01:24:00, 30.3, 182
2010-06-10 01:30:00, 35.9, 186
2010-06-10 01:36:00, 29.5, 185
2010-06-10 01:42:00, 29.4, 170
2010-06-10 01:48:00, 24.0, 157
2010-06-10 01:54:00, 26.4, 156
2010-06-10 02:00:00, 19.4, 169
2010-06-10 02:06:00, 21.3, 154
2010-06-10 02:12:00, 25.0, 148
2010-06-10 02:18:00, 27.6, 140
2010-06-10 02:24:00, 28.9, 138
2010-06-10 02:30:00, 22.1, 135
2010-06-10 02:36:00, 25.3, 126
2010-06-10 02:42:00, 29.2, 113
2010-06-10 02:48:00, 34.7, 109
2010-06-10 02:54:00, 37.3, 102
2010-06-10 03:00:00, 38.5, 100
2010-06-10 03:06:00, 39.7, 96
2010-06-10 03:12:00, 48.9, 94
2010-06-10 03:18:00, 43.1, 93
2010-06-10 03:24:00, 41.1, 90
2010-06-10 03:30:00, 46.7, 93
2010-06-10 03:36:00, 47.3, 90
2010-06-10 03:42:00, 48.8, 83
2010-06-10 03:48:00, 53.2, 81
2010-06-10 03:54:00, 52.0, 81
2010-06-10 04:00:00, 46.0, 83
2010-06-10 04:06:00, 49.4, 82
2010-06-10 04:12:00, 47.5, 78
2010-06-10 04:18:00, 51.7, 71
2010-06-10 04:24:00, 52.0, 73
2010-06-10 04:30:00, 52.6, 72
2010-06-10 04:36:00, 52.2, 69
2010-06-10 04:42:00, 48.1, 71
2010-06-10 04:48:00, 44.7, 75
2010-06-10 04:54:00, 45.7, 68
2010-06-10 05:00:00, 44.2, 66
2010-06-10 05:06:00, 45.6, 69
2010-06-10 05:12:00, 47.8, 70
2010-06-10 05:18:00, 46.4, 73
2010-06-10 05:24:00, 42.9, 70
2010-06-10 05:30:00, 42.9, 72
2010-06-10 05:36:00, 39.8, 73
2010-06-10 05:42:00, 38.7, 72
2010-06-10 05:48:00, 38.0, 68
2010-06-10 05:54:00, 36.8, 68
2010-06-10 06:00:00, 33.8, 65
2010-06-10 06:06:00, 31.0, 58
2010-06-10 06:12:00, 25.6, 56
2010-06-10 06:18:00, 27.0, 54
2010-06-10 06:24:00, 26.8, 47
2010-06-10 06:30:00, 28.6, 49
2010-06-10 06:36:00, 32.3, 35
2010-06-10 06:42:00, 34.8, 29
2010-06-10 06:48:00, 38.9, 28
2010-06-10 06:54:00, 41.8, 28
2010-06-10 07:00:00, 30.6, 31
2010-06-10 07:06:00, 31.8, 26
2010-06-10 07:12:00, 33.2, 22
2010-06-10 07:18:00, 28.1, 17
2010-06-10 07:24:00, 26.9, 15
2010-06-10 07:30:00, 32.1, 17
2010-06-10 07:36:00, 28.4, 12
2010-06-10 07:42:00, 28.0, 7
2010-06-10 07:48:00, 26.0, 355
2010-06-10 07:54:00, 23.4, 353
2010-06-10 08:00:00, 27.0, 349
2010-06-10 08:06:00, 26.3, 325
2010-06-10 08:12:00, 27.5, 314
2010-06-10 08:18:00, 26.7, 311
2010-06-10 08:24:00, 27.4, 310
2010-06-10 08:30:00, 30.8, 308
2010-06-10 08:36:00, 28.6, 310
2010-06-10 08:42:00, 29.8, 301
2010-06-10 08:48:00, 28.5, 304
2010-06-10 08:54:00, 29.7, 290
2010-06-10 09:00:00, 32.8, 283
2010-06-10 09:06:00, 33.5, 277
2010-06-10 09:12:00, 39.3, 270
2010-06-10 09:18:00, 41.3, 268
2010-06-10 09:24:00, 43.7, 267
2010-06-10 09:30:00, 45.2, 265
2010-06-10 09:36:00, 43.2, 258
2010-06-10 09:42:00, 42.2, 256
2010-06-10 09:48:00, 44.8, 255
2010-06-10 09:54:00, 38.9, 245
2010-06-10 10:00:00, 40.1, 239
2010-06-10 10:06:00, 39.9, 230
2010-06-10 10:12:00, 46.4, 239
2010-06-10 10:18:00, 51.1, 236
2010-06-10 10:24:00, 43.6, 231
2010-06-10 10:30:00, 44.8, 232
2010-06-10 10:36:00, 45.3, 229
2010-06-10 10:42:00, 49.1, 235
2010-06-10 10:48:00, 50.2, 230
2010-06-10 10:54:00, 51.0, 234
2010-06-10 11:00:00, 55.9, 235
2010-06-10 11:06:00, 55.1, 231
2010-06-10 11:12:00, 51.7, 231
2010-06-10 11:18:00, 44.3, 229
2010-06-10 11:24:00, 49.5, 236
2010-06-10 11:30:00, 51.0, 238
2010-06-10 11:36:00, 49.0, 238
2010-06-10 11:42:00, 36.4, 223
2010-06-10 11:48:00, 46.8, 238
2010-06-10 11:54:00, 45.2, 226
2010-06-10 12:00:00, 38.9, 222
2010-06-10 12:06:00, 42.4, 222
2010-06-10 12:12:00, 44.0, 222
2010-06-10 12:18:00, 43.2, 222
2010-06-10 12:24:00, 37.0, 222
2010-06-10 12:30:00, 40.0, 219
2010-06-10 12:36:00, 37.0, 217
2010-06-10 12:42:00, 38.1, 218
2010-06-10 12:48:00, 36.9, 208
2010-06-10 12:54:00, 34.6, 223
2010-06-10 13:00:00, 28.0, 219
2010-06-10 13:06:00, 30.4, 207
2010-06-10 13:12:00, 31.8, 204
2010-06-10 13:18:00, 30.7, 198
2010-06-10 13:24:00, 26.3, 195
2010-06-10 13:30:00, 24.4, 197
2010-06-10 13:36:00, 23.6, 186
2010-06-10 13:42:00, 24.0, 175
2010-06-10 13:48:00, 26.5, 170
2010-06-10 13:54:00, 28.1, 168
2010-06-10 14:00:00, 29.6, 175
2010-06-10 14:06:00, 29.2, 173
2010-06-10 14:12:00, 27.9, 165
2010-06-10 14:18:00, 26.2, 160
2010-06-10 14:24:00, 30.8, 161
2010-06-10 14:30:00, 29.4, 155
2010-06-10 14:36:00, 31.5, 158
2010-06-10 14:42:00, 33.5, 153
2010-06-10 14:48:00, 35.0, 140
2010-06-10 14:54:00, 29.7, 127
2010-06-10 15:00:00, 29.0, 120
2010-06-10 15:06:00, 33.5, 119
2010-06-10 15:12:00, 34.8, 103
2010-06-10 15:18:00, 27.2, 106
2010-06-10 15:24:00, 37.7, 100
2010-06-10 15:30:00, 41.8, 96
2010-06-10 15:36:00, 44.3, 91
2010-06-10 15:42:00, 44.0, 93
2010-06-10 15:48:00, 51.6, 88
2010-06-10 15:54:00, 51.6, 84
2010-06-10 16:00:00, 59.6, 82
2010-06-10 16:06:00, 50.8, 84
2010-06-10 16:12:00, 48.7, 79
2010-06-10 16:18:00, 58.3, 75
2010-06-10 16:24:00, 67.4, 71
2010-06-10 16:30:00, 72.4, 70
2010-06-10 16:36:00, 72.7, 67
2010-06-10 16:42:00, 68.2, 67
2010-06-10 16:48:00, 65.0, 67
2010-06-10 16:54:00, 61.1, 67
2010-06-10 17:00:00, 62.3, 67
2010-06-10 17:06:00, 52.3, 67
2010-06-10 17:12:00, 51.8, 66
2010-06-10 17:18:00, 54.2, 67
2010-06-10 17:24:00, 52.2, 67
2010-06-10 17:30:00, 47.9, 66
2010-06-10 17:36:00, 44.9, 57
2010-06-10 17:42:00, 43.7, 59
2010-06-10 17:48:00, 39.6, 58
2010-06-10 17:54:00, 41.3, 62
2010-06-10 18:00:00, 36.8, 64
2010-06-10 18:06:00, 30.4, 72
2010-06-10 18:12:00, 29.5, 61
2010-06-10 18:18:00, 27.2, 64
2010-06-10 18:24:00, 24.0, 47
2010-06-10 18:30:00, 25.4, 42
2010-06-10 18:36:00, 22.1, 36
2010-06-10 18:42:00, 24.6, 43
2010-06-10 18:48:00, 19.8, 48
2010-06-10 18:54:00, 20.6, 43
2010-06-10 19:00:00, 19.2, 42
2010-06-10 19:06:00, 18.8, 47
2010-06-10 19:12:00, 15.0, 35
2010-06-10 19:18:00, 10.8, 16
2010-06-10 19:24:00, 16.5, 3
2010-06-10 19:30:00, 21.6, 355
2010-06-10 19:36:00, 29.3, 1
2010-06-10 19:42:00, 38.2, 7
2010-06-10 19:48:00, 27.1, 358
2010-06-10 19:54:00, 20.0, 341
2010-06-10 20:00:00, 24.7, 346
2010-06-10 20:06:00, 24.9, 337
2010-06-10 20:12:00, 28.8, 335
2010-06-10 20:18:00, 25.2, 340
2010-06-10 20:24:00, 28.0, 330
2010-06-10 20:30:00, 27.7, 323
2010-06-10 20:36:00, 28.1, 307
2010-06-10 20:42:00, 35.3, 300
2010-06-10 20:48:00, 38.0, 287
2010-06-10 20:54:00, 40.3, 287
2010-06-10 21:00:00, 40.3, 287
2010-06-10 21:06:00, 39.8, 282
2010-06-10 21:12:00, 38.5, 277
2010-06-10 21:18:00, 38.9, 269
2010-06-10 21:24:00, 41.2, 263
2010-06-10 21:30:00, 47.1, 270
2010-06-10 21:36:00, 50.8, 265
2010-06-10 21:42:00, 51.2, 261
2010-06-10 21:48:00, 50.4, 258
2010-06-10 21:54:00, 51.8, 253
2010-06-10 22:00:00, 57.1, 251
2010-06-10 22:06:00, 47.2, 244
2010-06-10 22:12:00, 47.1, 246
2010-06-10 22:18:00, 46.0, 248
2010-06-10 22:24:00, 56.4, 242
2010-06-10 22:30:00, 55.8, 242
2010-06-10 22:36:00, 58.3, 239
2010-06-10 22:42:00, 67.3, 240
2010-06-10 22:48:00, 60.8, 238
2010-06-10 22:54:00, 53.8, 233
2010-06-10 23:00:00, 54.9, 236
2010-06-10 23:06:00, 53.6, 231
2010-06-10 23:12:00, 49.7, 235
2010-06-10 23:18:00, 50.8, 233
2010-06-10 23:24:00, 42.8, 232
2010-06-10 23:30:00, 53.8, 241
2010-06-10 23:36:00, 58.9, 239
2010-06-10 23:42:00, 52.9, 235
2010-06-10 23:48:00, 56.7, 237
2010-06-10 23:54:00, 49.3, 229
2010-06-11 00:00:00, 53.0, 235
2010-06-11 00:06:00, 58.7, 238
2010-06-11 00:12:00, 61.9, 237
2010-06-11 00:18:00, 54.2, 232
2010-06-11 00:24:00, 55.0, 236
2010-06-11 00:30:00, 56.1, 234
2010-06-11 00:36:00, 44.8, 231
2010-06-11 00:42:00, 43.2, 229
2010-06-11 00:48:00, 37.3, 220
2010-06-11 00:54:00, 38.6, 222
2010-06-11 01:00:00, 42.3, 223
2010-06-11 01:06:00, 38.0, 215
2010-06-11 01:12:00, 34.7, 216
2010-06-11 01:18:00, 34.3, 215
2010-06-11 01:24:00, 31.6, 220
2010-06-11 01:30:00, 27.7, 210
2010-06-11 01:36:00, 27.8, 200
2010-06-11 01:42:00, 21.2, 201
2010-06-11 01:48:00, 20.0, 193
2010-06-11 01:54:00, 21.0, 185
2010-06-11 02:00:00, 20.4, 183
2010-06-11 02:06:00, 26.0, 179
2010-06-11 02:12:00, 26.7, 181
2010-06-11 02:18:00, 29.0, 168
2010-06-11 02:24:00, 26.6, 165
2010-06-11 02:30:00, 26.2, 168
2010-06-11 02:36:00, 28.6, 169
2010-06-11 02:42:00, 24.3, 166
2010-06-11 02:48:00, 25.9, 155
2010-06-11 02:54:00, 18.9, 155
2010-06-11 03:00:00, 21.5, 142
2010-06-11 03:06:00, 21.9, 123
2010-06-11 03:12:00, 28.1, 123
2010-06-11 03:18:00, 29.7, 125
2010-06-11 03:24:00, 31.0, 108
