Date/Time, Speed (cm/sec), Dir (true)
2010-06-09 20:12:00, 19.4, 213
2010-06-09 20:18:00, 28.4, 237
2010-06-09 20:24:00, 31.4, 241
2010-06-09 20:30:00, 39.3, 232
2010-06-09 20:36:00, 46.3, 234
2010-06-09 20:42:00, 46.5, 230
2010-06-09 20:48:00, 50.5, 229
2010-06-09 20:54:00, 57.3, 236
2010-06-09 21:00:00, 57.5, 239
2010-06-09 21:06:00, 59.9, 247
2010-06-09 21:12:00, 70.7, 249
2010-06-09 21:18:00, 77.9, 249
2010-06-09 21:24:00, 84.1, 246
2010-06-09 21:30:00, 90.6, 249
2010-06-09 21:36:00, 91.1, 251
2010-06-09 21:42:00, 79.1, 249
2010-06-09 21:48:00, 87.7, 251
2010-06-09 21:54:00, 82.3, 249
2010-06-09 22:00:00, 81.0, 245
2010-06-09 22:06:00, 80.8, 239
2010-06-09 22:12:00, 74.5, 235
2010-06-09 22:18:00, 74.7, 233
2010-06-09 22:24:00, 67.0, 234
2010-06-09 22:30:00, 72.2, 237
2010-06-09 22:36:00, 62.6, 236
2010-06-09 22:42:00, 69.3, 240
2010-06-09 22:48:00, 73.8, 242
2010-06-09 22:54:00, 63.3, 242
2010-06-09 23:00:00, 83.6, 242
2010-06-09 23:06:00, 77.0, 232
2010-06-09 23:12:00, 65.1, 231
2010-06-09 23:18:00, 63.6, 229
2010-06-09 23:24:00, 64.7, 231
2010-06-09 23:30:00, 54.1, 230
2010-06-09 23:36:00, 60.6, 235
2010-06-09 23:42:00, 66.3, 238
2010-06-09 23:48:00, 67.2, 241
2010-06-09 23:54:00, 57.1, 236
2010-06-10 00:00:00, 56.1, 237
2010-06-10 00:06:00, 56.6, 237
2010-06-10 00:12:00, 52.1, 236
2010-06-10 00:18:00, 54.1, 236
2010-06-10 00:24:00, 45.2, 231
2010-06-10 00:30:00, 43.7, 225
2010-06-10 00:36:00, 42.8, 229
2010-06-10 00:42:00, 41.4, 230
2010-06-10 00:48:00, 35.8, 227
2010-06-10 00:54:00, 31.9, 223
2010-06-10 01:00:00, 31.1, 220
2010-06-10 01:06:00, 33.9, 220
2010-06-10 01:12:00, 33.7, 221
2010-06-10 01:18:00, 29.6, 221
2010-06-10 01:24:00, 31.7, 221
2010-06-10 01:30:00, 22.6, 214
2010-06-10 01:36:00, 22.2, 227
2010-06-10 01:42:00, 16.3, 219
2010-06-10 01:48:00, 12.3, 211
2010-06-10 01:54:00, 13.3, 206
2010-06-10 02:00:00, 13.3, 294
2010-06-10 02:06:00, 15.1, 348
2010-06-10 02:12:00, 2.9, 168
2010-06-10 02:18:00, 4.7, 69
2010-06-10 02:24:00, 12.6, 73
2010-06-10 02:30:00, 14.1, 65
2010-06-10 02:36:00, 17.6, 104
2010-06-10 02:42:00, 23.5, 91
2010-06-10 02:48:00, 32.0, 79
2010-06-10 02:54:00, 32.9, 87
2010-06-10 03:00:00, 37.7, 79
2010-06-10 03:06:00, 44.9, 73
2010-06-10 03:12:00, 49.5, 73
2010-06-10 03:18:00, 57.5, 70
2010-06-10 03:24:00, 63.8, 71
2010-06-10 03:30:00, 65.3, 67
2010-06-10 03:36:00, 67.9, 71
2010-06-10 03:42:00, 72.0, 65
2010-06-10 03:48:00, 69.2, 66
2010-06-10 03:54:00, 67.8, 67
2010-06-10 04:00:00, 67.1, 70
2010-06-10 04:06:00, 69.2, 70
