Date/Time, Speed (cm/sec), Dir (true)
2010-07-10 00:00:00, 64.8, 235
2010-07-10 00:06:00, 49.8, 233
2010-07-10 00:12:00, 41.8, 231
2010-07-10 00:18:00, 49.0, 237
2010-07-10 00:24:00, 48.7, 234
2010-07-10 00:30:00, 50.9, 237
2010-07-10 00:36:00, 49.1, 240
2010-07-10 00:42:00, 43.3, 232
2010-07-10 00:48:00, 36.3, 230
2010-07-10 00:54:00, 39.9, 231
2010-07-10 01:00:00, 44.6, 233
2010-07-10 01:06:00, 38.0, 229
2010-07-10 01:12:00, 32.4, 219
2010-07-10 01:18:00, 31.7, 233
2010-07-10 01:24:00, 25.7, 223
2010-07-10 01:30:00, 25.8, 224
2010-07-10 01:36:00, 21.6, 225
2010-07-10 01:42:00, 16.3, 227
2010-07-10 01:48:00, 17.1, 213
2010-07-10 01:54:00, 18.8, 214
2010-07-10 02:00:00, 12.1, 200
2010-07-10 02:06:00, 14.6, 177
2010-07-10 02:12:00, 16.2, 159
2010-07-10 02:18:00, 8.7, 132
2010-07-10 02:24:00, 15.2, 135
2010-07-10 02:30:00, 15.9, 126
2010-07-10 02:36:00, 20.8, 109
2010-07-10 02:42:00, 27.4, 100
2010-07-10 02:48:00, 20.0, 67
2010-07-10 02:54:00, 25.9, 68
2010-07-10 03:00:00, 33.1, 65
2010-07-10 03:06:00, 32.8, 76
2010-07-10 03:12:00, 41.6, 65
2010-07-10 03:18:00, 43.0, 68
2010-07-10 03:24:00, 50.7, 74
2010-07-10 03:30:00, 54.1, 76
2010-07-10 03:36:00, 60.2, 75
2010-07-10 03:42:00, 66.0, 68
2010-07-10 03:48:00, 74.6, 67
2010-07-10 03:54:00, 73.7, 69
2010-07-10 04:00:00, 73.1, 66
2010-07-10 04:06:00, 77.9, 65
2010-07-10 04:12:00, 74.7, 62
2010-07-10 04:18:00, 81.0, 64
2010-07-10 04:24:00, 78.1, 65
2010-07-10 04:30:00, 75.3, 65
2010-07-10 04:36:00, 73.9, 63
2010-07-10 04:42:00, 74.8, 60
2010-07-10 04:48:00, 78.2, 58
2010-07-10 04:54:00, 84.4, 60
2010-07-10 05:00:00, 83.9, 63
2010-07-10 05:06:00, 82.2, 64
2010-07-10 05:12:00, 80.2, 64
2010-07-10 05:18:00, 75.9, 66
2010-07-10 05:24:00, 79.6, 69
2010-07-10 05:30:00, 77.6, 67
2010-07-10 05:36:00, 81.5, 67
2010-07-10 05:42:00, 84.2, 66
2010-07-10 05:48:00, 77.2, 66
2010-07-10 05:54:00, 76.9, 65
2010-07-10 06:00:00, 76.7, 64
2010-07-10 06:06:00, 78.3, 63
2010-07-10 06:12:00, 76.4, 67
2010-07-10 06:18:00, 76.7, 65
2010-07-10 06:24:00, 75.3, 63
2010-07-10 06:30:00, 74.7, 65
2010-07-10 06:36:00, 73.9, 62
2010-07-10 06:42:00, 70.1, 61
2010-07-10 06:48:00, 67.9, 58
2010-07-10 06:54:00, 63.9, 58
2010-07-10 07:00:00, 61.1, 57
2010-07-10 07:06:00, 57.8, 58
2010-07-10 07:12:00, 54.9, 60
2010-07-10 07:18:00, 51.9, 60
2010-07-10 07:24:00, 49.6, 60
2010-07-10 07:30:00, 45.0, 55
2010-07-10 07:36:00, 45.3, 56
2010-07-10 07:42:00, 44.4, 54
2010-07-10 07:48:00, 43.2, 51
2010-07-10 07:54:00, 42.3, 50
2010-07-10 08:00:00, 40.1, 47
2010-07-10 08:06:00, 34.0, 46
2010-07-10 08:12:00, 32.4, 45
2010-07-10 08:18:00, 29.5, 42
2010-07-10 08:24:00, 25.9, 37
2010-07-10 08:30:00, 18.2, 30
2010-07-10 08:36:00, 15.9, 21
2010-07-10 08:42:00, 11.1, 25
2010-07-10 08:48:00, 8.5, 357
2010-07-10 08:54:00, 4.4, 351
2010-07-10 09:00:00, 7.3, 285
2010-07-10 09:06:00, 9.5, 276
2010-07-10 09:12:00, 14.3, 258
2010-07-10 09:18:00, 21.8, 257
2010-07-10 09:24:00, 27.0, 253
2010-07-10 09:30:00, 30.9, 248
2010-07-10 09:36:00, 37.7, 252
2010-07-10 09:42:00, 42.9, 251
2010-07-10 09:48:00, 45.3, 247
2010-07-10 09:54:00, 51.4, 248
2010-07-10 10:00:00, 54.1, 244
2010-07-10 10:06:00, 60.0, 250
2010-07-10 10:12:00, 69.4, 252
2010-07-10 10:18:00, 73.8, 251
2010-07-10 10:24:00, 79.2, 249
2010-07-10 10:30:00, 77.2, 249
2010-07-10 10:36:00, 72.5, 250
2010-07-10 10:42:00, 73.1, 250
2010-07-10 10:48:00, 76.8, 248
