Date/Time, Speed (cm/sec), Dir (true)
2010-06-09 20:12:00, 20.6, 200
2010-06-09 20:18:00, 32.7, 233
2010-06-09 20:24:00, 35.4, 231
2010-06-09 20:30:00, 44.1, 228
2010-06-09 20:36:00, 46.0, 228
2010-06-09 20:42:00, 46.0, 226
2010-06-09 20:48:00, 47.7, 227
2010-06-09 20:54:00, 56.4, 237
2010-06-09 21:00:00, 57.9, 237
2010-06-09 21:06:00, 59.8, 245
2010-06-09 21:12:00, 68.8, 248
2010-06-09 21:18:00, 75.6, 248
2010-06-09 21:24:00, 81.4, 245
2010-06-09 21:30:00, 90.9, 245
2010-06-09 21:36:00, 89.8, 248
2010-06-09 21:42:00, 83.0, 250
2010-06-09 21:48:00, 91.7, 250
2010-06-09 21:54:00, 90.0, 250
2010-06-09 22:00:00, 83.8, 245
2010-06-09 22:06:00, 84.3, 238
2010-06-09 22:12:00, 78.2, 237
2010-06-09 22:18:00, 80.3, 233
2010-06-09 22:24:00, 72.9, 236
2010-06-09 22:30:00, 78.2, 240
2010-06-09 22:36:00, 68.4, 238
2010-06-09 22:42:00, 71.8, 238
2010-06-09 22:48:00, 78.1, 242
2010-06-09 22:54:00, 68.3, 244
2010-06-09 23:00:00, 92.6, 249
2010-06-09 23:06:00, 86.6, 237
2010-06-09 23:12:00, 71.0, 234
2010-06-09 23:18:00, 66.0, 232
2010-06-09 23:24:00, 67.0, 233
2010-06-09 23:30:00, 57.3, 230
2010-06-09 23:36:00, 61.8, 238
2010-06-09 23:42:00, 71.3, 239
2010-06-09 23:48:00, 70.0, 241
2010-06-09 23:54:00, 60.5, 238
2010-06-10 00:00:00, 61.5, 238
2010-06-10 00:06:00, 61.1, 239
2010-06-10 00:12:00, 58.5, 239
2010-06-10 00:18:00, 60.4, 240
2010-06-10 00:24:00, 48.0, 235
2010-06-10 00:30:00, 45.2, 232
2010-06-10 00:36:00, 45.4, 235
2010-06-10 00:42:00, 42.0, 233
2010-06-10 00:48:00, 37.7, 233
2010-06-10 00:54:00, 35.4, 233
2010-06-10 01:00:00, 34.1, 226
2010-06-10 01:06:00, 32.5, 227
2010-06-10 01:12:00, 34.1, 228
2010-06-10 01:18:00, 27.8, 228
2010-06-10 01:24:00, 31.0, 233
2010-06-10 01:30:00, 24.0, 218
2010-06-10 01:36:00, 23.3, 245
2010-06-10 01:42:00, 18.3, 244
2010-06-10 01:48:00, 12.8, 232
2010-06-10 01:54:00, 12.2, 225
2010-06-10 02:00:00, 21.4, 332
2010-06-10 02:06:00, 21.1, 350
2010-06-10 02:12:00, 3.8, 297
2010-06-10 02:18:00, 8.7, 23
2010-06-10 02:24:00, 16.9, 42
2010-06-10 02:30:00, 24.2, 39
2010-06-10 02:36:00, 19.2, 88
2010-06-10 02:42:00, 23.6, 72
2010-06-10 02:48:00, 36.7, 69
2010-06-10 02:54:00, 35.2, 82
2010-06-10 03:00:00, 38.6, 78
2010-06-10 03:06:00, 46.9, 74
2010-06-10 03:12:00, 49.5, 73
2010-06-10 03:18:00, 56.7, 70
2010-06-10 03:24:00, 62.1, 70
2010-06-10 03:30:00, 65.7, 67
2010-06-10 03:36:00, 68.9, 68
2010-06-10 03:42:00, 70.8, 65
2010-06-10 03:48:00, 69.5, 66
2010-06-10 03:54:00, 70.0, 65
2010-06-10 04:00:00, 70.1, 69
2010-06-10 04:06:00, 70.2, 70
2010-06-10 04:12:00, 74.1, 64
2010-06-10 04:18:00, 70.5, 68
2010-06-10 04:24:00, 74.9, 66
2010-06-10 04:30:00, 71.0, 63
2010-06-10 04:36:00, 74.8, 62
2010-06-10 04:42:00, 77.6, 62
2010-06-10 04:48:00, 74.9, 68
2010-06-10 04:54:00, 74.3, 68
2010-06-10 05:00:00, 73.3, 64
2010-06-10 05:06:00, 77.0, 70
2010-06-10 05:12:00, 76.7, 69
2010-06-10 05:18:00, 79.6, 67
2010-06-10 05:24:00, 75.5, 66
2010-06-10 05:30:00, 74.8, 64
2010-06-10 05:36:00, 71.5, 65
2010-06-10 05:42:00, 70.3, 63
2010-06-10 05:48:00, 69.0, 65
2010-06-10 05:54:00, 64.2, 63
2010-06-10 06:00:00, 55.5, 58
2010-06-10 06:06:00, 55.5, 60
2010-06-10 06:12:00, 60.3, 60
2010-06-10 06:18:00, 60.2, 61
2010-06-10 06:24:00, 53.7, 61
2010-06-10 06:30:00, 53.8, 63
2010-06-10 06:36:00, 61.8, 67
2010-06-10 06:42:00, 65.0, 69
2010-06-10 06:48:00, 65.6, 70
2010-06-10 06:54:00, 65.8, 71
2010-06-10 07:00:00, 52.0, 69
2010-06-10 07:06:00, 52.1, 68
2010-06-10 07:12:00, 50.9, 70
2010-06-10 07:18:00, 40.3, 76
2010-06-10 07:24:00, 45.3, 86
2010-06-10 07:30:00, 47.1, 88
2010-06-10 07:36:00, 41.3, 83
2010-06-10 07:42:00, 26.7, 77
2010-06-10 07:48:00, 25.5, 84
2010-06-10 07:54:00, 18.0, 65
2010-06-10 08:00:00, 15.8, 74
2010-06-10 08:06:00, 11.2, 65
2010-06-10 08:12:00, 6.8, 31
2010-06-10 08:18:00, 3.4, 338
2010-06-10 08:24:00, 1.6, 339
2010-06-10 08:30:00, 6.0, 277
2010-06-10 08:36:00, 10.1, 262
2010-06-10 08:42:00, 15.1, 252
2010-06-10 08:48:00, 19.5, 235
2010-06-10 08:54:00, 22.3, 247
2010-06-10 09:00:00, 23.4, 239
2010-06-10 09:06:00, 28.4, 240
2010-06-10 09:12:00, 35.7, 235
2010-06-10 09:18:00, 46.5, 233
2010-06-10 09:24:00, 54.6, 237
2010-06-10 09:30:00, 55.9, 237
2010-06-10 09:36:00, 56.5, 235
2010-06-10 09:42:00, 57.4, 243
2010-06-10 09:48:00, 60.7, 243
2010-06-10 09:54:00, 62.1, 244
2010-06-10 10:00:00, 67.3, 247
2010-06-10 10:06:00, 73.8, 243
2010-06-10 10:12:00, 79.0, 247
2010-06-10 10:18:00, 76.1, 241
2010-06-10 10:24:00, 72.9, 241
2010-06-10 10:30:00, 72.6, 242
2010-06-10 10:36:00, 76.6, 242
2010-06-10 10:42:00, 78.7, 243
2010-06-10 10:48:00, 69.0, 242
2010-06-10 10:54:00, 73.6, 248
2010-06-10 11:00:00, 70.0, 243
2010-06-10 11:06:00, 65.5, 243
2010-06-10 11:12:00, 69.8, 244
2010-06-10 11:18:00, 66.3, 245
2010-06-10 11:24:00, 69.7, 247
2010-06-10 11:30:00, 78.9, 247
2010-06-10 11:36:00, 69.9, 241
2010-06-10 11:42:00, 59.7, 236
2010-06-10 11:48:00, 73.8, 244
2010-06-10 11:54:00, 64.4, 238
2010-06-10 12:00:00, 63.8, 243
2010-06-10 12:06:00, 65.3, 242
2010-06-10 12:12:00, 52.4, 238
2010-06-10 12:18:00, 57.1, 237
2010-06-10 12:24:00, 51.0, 233
2010-06-10 12:30:00, 42.8, 235
2010-06-10 12:36:00, 42.5, 238
2010-06-10 12:42:00, 44.8, 235
2010-06-10 12:48:00, 44.2, 235
2010-06-10 12:54:00, 49.7, 237
2010-06-10 13:00:00, 42.4, 239
2010-06-10 13:06:00, 39.6, 231
2010-06-10 13:12:00, 40.2, 237
2010-06-10 13:18:00, 39.6, 237
2010-06-10 13:24:00, 31.9, 230
2010-06-10 13:30:00, 29.4, 231
2010-06-10 13:36:00, 25.4, 229
2010-06-10 13:42:00, 17.3, 220
2010-06-10 13:48:00, 14.3, 225
2010-06-10 13:54:00, 12.0, 220
2010-06-10 14:00:00, 11.3, 219
2010-06-10 14:06:00, 11.1, 202
2010-06-10 14:12:00, 6.6, 190
2010-06-10 14:18:00, 10.6, 176
2010-06-10 14:24:00, 10.3, 163
2010-06-10 14:30:00, 10.9, 141
2010-06-10 14:36:00, 12.6, 101
2010-06-10 14:42:00, 17.8, 101
2010-06-10 14:48:00, 19.8, 96
2010-06-10 14:54:00, 26.4, 103
2010-06-10 15:00:00, 33.1, 92
2010-06-10 15:06:00, 36.5, 83
2010-06-10 15:12:00, 47.6, 73
2010-06-10 15:18:00, 41.5, 70
2010-06-10 15:24:00, 47.6, 68
2010-06-10 15:30:00, 49.9, 69
2010-06-10 15:36:00, 53.8, 62
2010-06-10 15:42:00, 62.7, 67
