Date/Time, Speed (cm/sec), Dir (true)
2010-07-10 00:00:00, 71.1, 238
2010-07-10 00:06:00, 58.1, 233
2010-07-10 00:12:00, 51.4, 231
2010-07-10 00:18:00, 56.9, 240
2010-07-10 00:24:00, 56.7, 239
2010-07-10 00:30:00, 56.1, 241
2010-07-10 00:36:00, 54.0, 241
2010-07-10 00:42:00, 49.3, 239
2010-07-10 00:48:00, 43.2, 241
2010-07-10 00:54:00, 43.0, 240
2010-07-10 01:00:00, 44.0, 239
2010-07-10 01:06:00, 42.6, 235
2010-07-10 01:12:00, 35.2, 230
2010-07-10 01:18:00, 33.7, 245
2010-07-10 01:24:00, 27.7, 232
2010-07-10 01:30:00, 28.5, 242
2010-07-10 01:36:00, 24.4, 245
2010-07-10 01:42:00, 18.6, 240
2010-07-10 01:48:00, 15.4, 232
2010-07-10 01:54:00, 16.4, 229
2010-07-10 02:00:00, 11.6, 222
2010-07-10 02:06:00, 9.4, 210
2010-07-10 02:12:00, 5.7, 165
2010-07-10 02:18:00, 6.5, 97
2010-07-10 02:24:00, 11.8, 118
2010-07-10 02:30:00, 15.0, 96
2010-07-10 02:36:00, 22.7, 96
2010-07-10 02:42:00, 27.3, 105
2010-07-10 02:48:00, 32.0, 42
2010-07-10 02:54:00, 35.0, 49
2010-07-10 03:00:00, 38.0, 52
2010-07-10 03:06:00, 43.7, 58
2010-07-10 03:12:00, 49.6, 55
2010-07-10 03:18:00, 51.6, 61
2010-07-10 03:24:00, 55.8, 65
2010-07-10 03:30:00, 57.6, 70
2010-07-10 03:36:00, 63.2, 71
2010-07-10 03:42:00, 71.1, 65
2010-07-10 03:48:00, 81.4, 67
2010-07-10 03:54:00, 81.4, 70
2010-07-10 04:00:00, 80.9, 67
2010-07-10 04:06:00, 84.0, 66
2010-07-10 04:12:00, 81.9, 63
2010-07-10 04:18:00, 83.8, 63
2010-07-10 04:24:00, 84.3, 64
2010-07-10 04:30:00, 81.6, 64
2010-07-10 04:36:00, 84.4, 61
2010-07-10 04:42:00, 84.0, 60
2010-07-10 04:48:00, 89.1, 63
2010-07-10 04:54:00, 85.9, 63
2010-07-10 05:00:00, 86.2, 65
2010-07-10 05:06:00, 86.5, 66
2010-07-10 05:12:00, 87.5, 65
2010-07-10 05:18:00, 91.8, 71
2010-07-10 05:24:00, 94.1, 67
2010-07-10 05:30:00, 94.9, 68
2010-07-10 05:36:00, 95.3, 69
2010-07-10 05:42:00, 97.7, 69
2010-07-10 05:48:00, 94.3, 70
2010-07-10 05:54:00, 85.0, 68
2010-07-10 06:00:00, 85.2, 69
2010-07-10 06:06:00, 82.5, 68
2010-07-10 06:12:00, 84.8, 70
2010-07-10 06:18:00, 80.6, 70
2010-07-10 06:24:00, 83.1, 70
2010-07-10 06:30:00, 82.8, 69
2010-07-10 06:36:00, 79.7, 70
2010-07-10 06:42:00, 79.3, 67
2010-07-10 06:48:00, 73.8, 67
2010-07-10 06:54:00, 70.8, 67
2010-07-10 07:00:00, 66.8, 66
2010-07-10 07:06:00, 62.0, 65
2010-07-10 07:12:00, 60.2, 66
2010-07-10 07:18:00, 55.4, 67
2010-07-10 07:24:00, 50.1, 67
2010-07-10 07:30:00, 48.4, 64
2010-07-10 07:36:00, 47.0, 66
2010-07-10 07:42:00, 44.5, 65
2010-07-10 07:48:00, 45.9, 67
