Date/Time, Speed (cm/sec), Dir (true)
2010-07-10 00:00:00, 50.9, 235
2010-07-10 00:06:00, 44.4, 234
2010-07-10 00:12:00, 34.7, 223
2010-07-10 00:18:00, 42.6, 224
2010-07-10 00:24:00, 33.6, 217
2010-07-10 00:30:00, 41.1, 219
2010-07-10 00:36:00, 39.7, 225
2010-07-10 00:42:00, 34.5, 209
2010-07-10 00:48:00, 31.7, 220
2010-07-10 00:54:00, 34.2, 214
2010-07-10 01:00:00, 31.2, 216
2010-07-10 01:06:00, 33.6, 209
2010-07-10 01:12:00, 30.4, 203
2010-07-10 01:18:00, 26.0, 210
2010-07-10 01:24:00, 29.7, 207
2010-07-10 01:30:00, 24.3, 197
2010-07-10 01:36:00, 22.7, 198
2010-07-10 01:42:00, 22.5, 191
2010-07-10 01:48:00, 20.4, 190
2010-07-10 01:54:00, 22.0, 180
2010-07-10 02:00:00, 28.1, 168
2010-07-10 02:06:00, 26.6, 167
2010-07-10 02:12:00, 29.5, 160
2010-07-10 02:18:00, 24.5, 158
2010-07-10 02:24:00, 27.3, 156
2010-07-10 02:30:00, 28.2, 146
2010-07-10 02:36:00, 22.7, 120
2010-07-10 02:42:00, 21.7, 112
2010-07-10 02:48:00, 24.6, 113
2010-07-10 02:54:00, 27.8, 113
2010-07-10 03:00:00, 27.6, 101
2010-07-10 03:06:00, 33.9, 102
2010-07-10 03:12:00, 34.6, 93
2010-07-10 03:18:00, 41.3, 90
2010-07-10 03:24:00, 44.2, 89
2010-07-10 03:30:00, 46.3, 91
2010-07-10 03:36:00, 50.4, 87
2010-07-10 03:42:00, 55.6, 88
2010-07-10 03:48:00, 54.0, 83
2010-07-10 03:54:00, 59.4, 81
2010-07-10 04:00:00, 63.3, 79
2010-07-10 04:06:00, 67.6, 79
2010-07-10 04:12:00, 60.6, 80
2010-07-10 04:18:00, 60.6, 76
2010-07-10 04:24:00, 61.7, 76
2010-07-10 04:30:00, 57.6, 76
2010-07-10 04:36:00, 57.7, 72
2010-07-10 04:42:00, 55.4, 68
2010-07-10 04:48:00, 55.9, 65
2010-07-10 04:54:00, 54.4, 63
2010-07-10 05:00:00, 58.6, 64
2010-07-10 05:06:00, 58.7, 63
2010-07-10 05:12:00, 59.2, 60
2010-07-10 05:18:00, 56.0, 61
2010-07-10 05:24:00, 54.4, 59
2010-07-10 05:30:00, 59.3, 58
2010-07-10 05:36:00, 58.8, 59
2010-07-10 05:42:00, 59.4, 63
2010-07-10 05:48:00, 57.8, 61
2010-07-10 05:54:00, 57.2, 65
2010-07-10 06:00:00, 60.0, 66
2010-07-10 06:06:00, 60.5, 61
2010-07-10 06:12:00, 62.7, 59
2010-07-10 06:18:00, 62.1, 57
2010-07-10 06:24:00, 56.1, 54
2010-07-10 06:30:00, 55.4, 52
2010-07-10 06:36:00, 54.2, 51
2010-07-10 06:42:00, 52.7, 48
2010-07-10 06:48:00, 49.8, 47
2010-07-10 06:54:00, 48.6, 45
2010-07-10 07:00:00, 46.8, 46
2010-07-10 07:06:00, 47.2, 49
2010-07-10 07:12:00, 46.3, 48
2010-07-10 07:18:00, 42.3, 46
2010-07-10 07:24:00, 40.5, 45
2010-07-10 07:30:00, 37.7, 41
2010-07-10 07:36:00, 37.9, 34
2010-07-10 07:42:00, 38.9, 36
2010-07-10 07:48:00, 41.0, 32
2010-07-10 07:54:00, 38.8, 32
2010-07-10 08:00:00, 39.3, 27
2010-07-10 08:06:00, 36.9, 23
2010-07-10 08:12:00, 31.7, 20
2010-07-10 08:18:00, 32.6, 18
2010-07-10 08:24:00, 29.6, 13
2010-07-10 08:30:00, 26.1, 1
2010-07-10 08:36:00, 22.3, 353
2010-07-10 08:42:00, 20.6, 348
2010-07-10 08:48:00, 20.6, 356
2010-07-10 08:54:00, 17.1, 333
2010-07-10 09:00:00, 24.3, 301
2010-07-10 09:06:00, 27.4, 293
2010-07-10 09:12:00, 30.7, 284
2010-07-10 09:18:00, 37.1, 281
2010-07-10 09:24:00, 40.8, 272
